zip,Zipcode name,City,State,County Name
98520,"ABERDEEN, WA",ABERDEEN,WA,GRAYS HARBOR
98220,"ACME, WA",ACME,WA,WHATCOM
99101,"ADDY, WA",ADDY,WA,STEVENS
98522,"ADNA, WA",ADNA,WA,LEWIS
99001,"AIRWAY HEIGHTS, WA",AIRWAY HEIGHTS,WA,SPOKANE
99102,"ALBION, WA",ALBION,WA,WHITMAN
98524,"ALLYN, WA",ALLYN,WA,MASON
99103,"ALMIRA, WA",ALMIRA,WA,LINCOLN
98526,"AMANDA PARK, WA",AMANDA PARK,WA,GRAYS HARBOR
98601,"AMBOY, WA",AMBOY,WA,CLARK
98221,"ANACORTES, WA",ANACORTES,WA,SKAGIT
99401,"ANATONE, WA",ANATONE,WA,ASOTIN
98303,"ANDERSON ISLAND, WA",ANDERSON ISLAND,WA,PIERCE
98602,"APPLETON, WA",APPLETON,WA,KLICKITAT
98811,"ARDENVOIR, WA",ARDENVOIR,WA,CHELAN
98603,"ARIEL, WA",ARIEL,WA,COWLITZ
98223,"ARLINGTON, WA",ARLINGTON,WA,SNOHOMISH
98304,"ASHFORD, WA",ASHFORD,WA,PIERCE
99402,"ASOTIN, WA",ASOTIN,WA,ASOTIN
98001,"AUBURN, WA",AUBURN,WA,KING
98002,"AUBURN, WA",AUBURN,WA,KING
98071,"AUBURN, WA",AUBURN,WA,KING
98092,"AUBURN, WA",AUBURN,WA,KING
98110,"BAINBRIDGE ISLAND, WA",BAINBRIDGE ISLAND,WA,KITSAP
98604,"BATTLE GROUND, WA",BATTLE GROUND,WA,CLARK
98527,"BAY CENTER, WA",BAY CENTER,WA,PACIFIC
98305,"BEAVER, WA",BEAVER,WA,CLALLAM
98528,"BELFAIR, WA",BELFAIR,WA,MASON
98004,"BELLEVUE, WA",BELLEVUE,WA,KING
98005,"BELLEVUE, WA",BELLEVUE,WA,KING
98006,"BELLEVUE, WA",BELLEVUE,WA,KING
98007,"BELLEVUE, WA",BELLEVUE,WA,KING
98008,"BELLEVUE, WA",BELLEVUE,WA,KING
98009,"BELLEVUE, WA",BELLEVUE,WA,KING
98015,"BELLEVUE, WA",BELLEVUE,WA,KING
98225,"BELLINGHAM, WA",BELLINGHAM,WA,WHATCOM
98226,"BELLINGHAM, WA",BELLINGHAM,WA,WHATCOM
98227,"BELLINGHAM, WA",BELLINGHAM,WA,WHATCOM
98228,"BELLINGHAM, WA",BELLINGHAM,WA,WHATCOM
98229,"BELLINGHAM, WA",BELLINGHAM,WA,WHATCOM
99104,"BELMONT, WA",BELMONT,WA,WHITMAN
99320,"BENTON CITY, WA",BENTON CITY,WA,BENTON
99321,"BEVERLY, WA",BEVERLY,WA,GRANT
99322,"BICKLETON, WA",BICKLETON,WA,KLICKITAT
98605,"BINGEN, WA",BINGEN,WA,KLICKITAT
98010,"BLACK DIAMOND, WA",BLACK DIAMOND,WA,KING
98230,"BLAINE, WA",BLAINE,WA,WHATCOM
98231,"BLAINE, WA",BLAINE,WA,WHATCOM
98222,"BLAKELY ISLAND, WA",BLAKELY ISLAND,WA,SAN JUAN
98391,"BONNEY LAKE, WA",BONNEY LAKE,WA,PIERCE
